DisorderID,OrphaCode,ExpertLink,DisorderName,DisorderType,DisorderGroup,AgeOfOnsetIDs,AgeOfOnsetNames,InheritanceTypeIDs,InheritanceTypeNames
12773,96149,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96149,Distal deletion 12q syndrome,Malformation syndrome,Disorder,23515,Neonatal,,
12771,96147,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96147,Kleefstra syndrome due to 9q34 microdeletion,Etiological subtype,Subtype of disorder,23522|23515,Infancy|Neonatal,23494,Not applicable
12769,96145,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96145,Distal deletion 4q syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,,
12753,96129,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96129,Distal deletion 19p syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
12749,96125,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96125,Distal deletion 6p syndrome,Malformation syndrome,Disorder,23508|23522|23515,Antenatal|Infancy|Neonatal,23494|23480,Not applicable|Unknown
12750,96126,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96126,Distal deletion 7p syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
12745,96121,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96121,7q11.23 microduplication syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,,
12747,96123,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96123,Monosomy 22 syndrome,Malformation syndrome,Disorder,23515,Neonatal,,
12736,96112,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96112,Non-distal duplication 9q syndrome,Malformation syndrome,Disorder,23515,Neonatal,,
12731,96107,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96107,Distal duplication 20q syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
