,VEC_DIM,PMD,CMBZ,GS,DIST_A,DIST_B,DIST_C,CONFIG_TIME,COMPUTE_TIME
16705,10000.0,13.0,"[60, 30, 60]",30.0,2.1837851281067363e-06,2.173890609930951e-06,0.00044695023183315526,0.24029850959777832,0.0770409107208252
16706,10000.0,13.0,"[60, 30, 60]",40.0,2.1224578698802006e-09,2.126361992789023e-09,1023.0468842608544,0.24203252792358398,0.08026266098022461
16707,10000.0,13.0,"[60, 40, 60]",20.0,0.0021944645164785614,0.002257945305884325,1.7138316800090778,0.22874188423156738,0.08323097229003906
16708,10000.0,13.0,"[60, 40, 60]",30.0,2.1978676011890665e-06,2.1893087658544024e-06,0.9997697920376747,0.25144076347351074,0.08377552032470703
16709,10000.0,13.0,"[60, 40, 60]",40.0,2.1253207955281223e-09,2.118534383117719e-09,1.4328884820948182e-06,0.24095582962036133,0.10731244087219238
16710,10000.0,14.0,"[60, 30, 60]",20.0,0.004482772646471403,0.004323784467383449,3.1914389416511937,0.5167770385742188,0.14403080940246582
16711,10000.0,14.0,"[60, 30, 60]",30.0,4.329373636971853e-06,4.408764155007197e-06,0.0018214485607652505,0.550748348236084,0.16885757446289062
16712,10000.0,14.0,"[60, 30, 60]",40.0,4.2677038205787925e-09,4.26212278459157e-09,1023.0937403768971,0.4309840202331543,0.14063262939453125
16713,10000.0,14.0,"[60, 40, 60]",20.0,0.004528451556168748,0.0044579054483033865,0.03824206043057445,0.4673020839691162,0.13689899444580078
16714,10000.0,14.0,"[60, 40, 60]",30.0,4.453924203286345e-06,4.40582571633246e-06,0.9977621792378689,0.426227331161499,0.14966678619384766
16715,10000.0,14.0,"[60, 40, 60]",40.0,4.253137486906334e-09,4.2315511207856826e-09,3.5869900878814863e-06,0.4127166271209717,0.1314377784729004
16716,10000.0,15.0,"[60, 30, 60]",20.0,0.00903147249511974,0.008866077353721762,4.294200289507182,0.8239855766296387,0.2612040042877197
16717,10000.0,15.0,"[60, 30, 60]",30.0,8.76880650108307e-06,8.758284336339416e-06,0.00562705383472286,0.832810640335083,0.27170848846435547
16718,10000.0,15.0,"[60, 30, 60]",40.0,8.516429801282255e-09,8.39701159576361e-09,1023.2500317469979,0.8255934715270996,0.2584679126739502
16719,10000.0,15.0,"[60, 40, 60]",20.0,0.008961301429418384,0.008833484783795222,9.444158074895439,0.7974011898040771,0.25629734992980957
16720,10000.0,15.0,"[60, 40, 60]",30.0,8.748019283800551e-06,8.824868301650103e-06,0.9960385526107309,0.7967445850372314,0.2661259174346924
16721,10000.0,15.0,"[60, 40, 60]",40.0,8.646982277494213e-09,8.500598861868654e-09,5.159746532756567e-06,0.8090715408325195,0.2578716278076172
16722,10000.0,13.0,"[60, 30, 60]",20.0,0.0022537862296167135,0.0022730303524990153,0.6350530806365784,0.21264219284057617,0.0837252140045166
16723,10000.0,13.0,"[60, 30, 60]",30.0,2.2580001271458086e-06,2.228186289848685e-06,1.2931361646619918e-05,0.2244865894317627,0.07375454902648926
16724,10000.0,13.0,"[60, 30, 60]",40.0,2.142562328601107e-09,2.1409941596031857e-09,1023.0468746990725,0.22269797325134277,0.07930374145507812
16725,10000.0,13.0,"[60, 40, 60]",20.0,0.0022359743794118365,0.0022504714397598652,0.01793468007335928,0.24217581748962402,0.07830333709716797
16726,10000.0,13.0,"[60, 40, 60]",30.0,2.2135512247419627e-06,2.1922306542864093e-06,0.9994145247795049,0.23314857482910156,0.09077262878417969
16727,10000.0,13.0,"[60, 40, 60]",40.0,2.15573317741995e-09,2.1839166837227947e-09,7.43227570234453e-08,0.23468899726867676,0.08351778984069824
16728,10000.0,14.0,"[60, 30, 60]",20.0,0.004431412498115158,0.004449249632679274,2.0904858795569585,0.428480863571167,0.1389148235321045
16729,10000.0,14.0,"[60, 30, 60]",30.0,4.473996899274394e-06,4.442139524257061e-06,0.0003153880563375078,0.4200174808502197,0.13782811164855957
16730,10000.0,14.0,"[60, 30, 60]",40.0,4.2999309299273515e-09,4.256340148835555e-09,1023.093750266118,0.45041942596435547,0.14106082916259766
16731,10000.0,14.0,"[60, 40, 60]",20.0,0.004525007448430452,0.0045480060887255055,1.0830752179428338,0.43743896484375,0.14230751991271973
16732,10000.0,14.0,"[60, 40, 60]",30.0,4.389035031589185e-06,4.431619543214776e-06,0.9992612304508952,0.42939043045043945,0.13405871391296387
16733,10000.0,14.0,"[60, 40, 60]",40.0,4.263630556296904e-09,4.2843791298799175e-09,2.015719474292763e-06,0.4113442897796631,0.14088726043701172
16734,10000.0,15.0,"[60, 30, 60]",20.0,0.00911501695990229,0.008994478354292122,1.6342468684720133,0.8264384269714355,0.2612795829772949
16735,10000.0,15.0,"[60, 30, 60]",30.0,8.812772131127154e-06,8.866509164827004e-06,0.00012982171204060558,0.8151428699493408,0.25873827934265137
16736,10000.0,15.0,"[60, 30, 60]",40.0,8.525292018884916e-09,8.517546336734988e-09,1023.250027937209,0.8371899127960205,0.26474452018737793
16737,10000.0,15.0,"[60, 40, 60]",20.0,0.008938094222505792,0.008966574290997564,1.2873695636321205,0.7791051864624023,0.24436664581298828
16738,10000.0,15.0,"[60, 40, 60]",30.0,8.73019237905444e-06,8.761317103249657e-06,1.0009280454369163,0.867840051651001,0.2888221740722656
16739,10000.0,15.0,"[60, 40, 60]",40.0,8.525595079939785e-09,8.537762468936182e-09,2.8425727604347977e-06,0.8596582412719727,0.24814295768737793
16740,10000.0,13.0,"[60, 30, 60]",20.0,0.0022486681243302727,0.002298119832445585,0.6574897029111113,0.24452757835388184,0.09903717041015625
16741,10000.0,13.0,"[60, 30, 60]",30.0,2.194736316796144e-06,2.257378684013096e-06,0.00025421504075722904,0.23340487480163574,0.08507061004638672
16742,10000.0,13.0,"[60, 30, 60]",40.0,2.1714829313267874e-09,2.1575074922059634e-09,1023.0468757647171,0.21865057945251465,0.09461021423339844
16743,10000.0,13.0,"[60, 40, 60]",20.0,0.002202121363371892,0.00226413130373244,0.8006396891808957,0.22182583808898926,0.08172249794006348
16744,10000.0,13.0,"[60, 40, 60]",30.0,2.1844325737689235e-06,2.233778782828104e-06,0.9986190021403459,0.22970914840698242,0.07569527626037598
16745,10000.0,13.0,"[60, 40, 60]",40.0,2.1483722470387492e-09,2.138218707637211e-09,2.6376723357328477e-07,0.21987676620483398,0.08136296272277832
16746,10000.0,14.0,"[60, 30, 60]",20.0,0.004461705499434257,0.004516347956050225,1.0804950867412522,0.4345881938934326,0.13497114181518555
16747,10000.0,14.0,"[60, 30, 60]",30.0,4.36627568733189e-06,4.48970955150253e-06,0.00011207546732017384,0.4519827365875244,0.14112448692321777
16748,10000.0,14.0,"[60, 30, 60]",40.0,4.2579173390909875e-09,4.320455795952545e-09,1023.0937592873264,0.42772579193115234,0.13394665718078613
16749,10000.0,14.0,"[60, 40, 60]",20.0,0.0045305445614113125,0.004483024266114238,0.9003596340348188,0.4305307865142822,0.1357896327972412
16750,10000.0,14.0,"[60, 40, 60]",30.0,4.347289456000486e-06,4.44546322585094e-06,0.9986184535151972,0.4440340995788574,0.14027857780456543
16751,10000.0,14.0,"[60, 40, 60]",40.0,4.188286576920508e-09,4.310860900929058e-09,2.129790321549638e-06,0.4319159984588623,0.13718819618225098
16752,10000.0,15.0,"[60, 30, 60]",20.0,0.00903235607384167,0.009012574709669449,1.875257889101987,0.822636604309082,0.2578299045562744
16753,10000.0,15.0,"[60, 30, 60]",30.0,8.627860050491691e-06,8.921953821463301e-06,0.0002515105282503973,0.9093129634857178,0.2614760398864746
16754,10000.0,15.0,"[60, 30, 60]",40.0,8.489731816105907e-09,8.50721840434616e-09,1023.2500692109265,0.8043878078460693,0.26332879066467285
16755,10000.0,15.0,"[60, 40, 60]",20.0,0.008970759946786849,0.009051213275493734,0.5260313669892558,0.8636157512664795,0.25673460960388184
16756,10000.0,15.0,"[60, 40, 60]",30.0,8.756133885643698e-06,8.836520895010139e-06,0.9998816955919266,0.822770357131958,0.263613224029541
16757,10000.0,15.0,"[60, 40, 60]",40.0,8.40648217941361e-09,8.560768405838752e-09,2.554581347288515e-07,0.9574377536773682,0.2776062488555908
16758,10000.0,13.0,"[60, 30, 60]",20.0,0.002266273930575717,0.0022299439189067353,1.0496926930990305,0.21347904205322266,0.07450199127197266
16759,10000.0,13.0,"[60, 30, 60]",30.0,2.2002048405834434e-06,2.166112624579133e-06,9.407840973065474e-05,0.22575974464416504,0.0835416316986084
16760,10000.0,13.0,"[60, 30, 60]",40.0,2.108235424033863e-09,2.1306263766438773e-09,1023.0468769511938,0.2286834716796875,0.08211231231689453
16761,10000.0,13.0,"[60, 40, 60]",20.0,0.002208162070769311,0.0022522758747044428,0.9011238928497552,0.22873497009277344,0.08809709548950195
16762,10000.0,13.0,"[60, 40, 60]",30.0,2.228738309113261e-06,2.1978324998496276e-06,0.9987186610871953,0.2308344841003418,0.0924680233001709
16763,10000.0,13.0,"[60, 40, 60]",40.0,2.0934532610069382e-09,2.1343070028719017e-09,2.756136695553598e-07,0.23530244827270508,0.08847475051879883
16764,10000.0,14.0,"[60, 30, 60]",20.0,0.004484142517117153,0.0044928216854493224,0.5820374756995276,0.4284496307373047,0.14255046844482422
16765,10000.0,14.0,"[60, 30, 60]",30.0,4.4373639946421786e-06,4.3548899876588305e-06,0.0005261811753043592,0.42104148864746094,0.12016177177429199
16766,10000.0,14.0,"[60, 30, 60]",40.0,4.30206480965638e-09,4.224758174199109e-09,1023.0937632394034,0.42420053482055664,0.13843178749084473
16767,10000.0,14.0,"[60, 40, 60]",20.0,0.0044732816812516375,0.0045073066416190365,0.6690624590587363,0.46441650390625,0.14349937438964844
16768,10000.0,14.0,"[60, 40, 60]",30.0,4.504840902474282e-06,4.396582342578018e-06,0.999043499065639,0.4406459331512451,0.13719391822814941
16769,10000.0,14.0,"[60, 40, 60]",40.0,4.354584502962271e-09,4.385845438511295e-09,1.5593557072300361e-06,0.41625189781188965,0.13254237174987793
16770,10000.0,15.0,"[60, 30, 60]",20.0,0.008968803823549932,0.00896798968841691,1.2107515503858106,0.869725227355957,0.2787296772003174
16771,10000.0,15.0,"[60, 30, 60]",30.0,8.701255712568364e-06,8.816882363477356e-06,0.0005444645161761145,0.8996670246124268,0.2664673328399658
16772,10000.0,15.0,"[60, 30, 60]",40.0,8.519845966414518e-09,8.540670889620491e-09,1023.2500617629955,0.8784451484680176,0.24929118156433105
16773,10000.0,15.0,"[60, 40, 60]",20.0,0.009014470617144698,0.009024693344336122,0.4224847385835579,0.8242073059082031,0.2631504535675049
16774,10000.0,15.0,"[60, 40, 60]",30.0,8.796428936773975e-06,8.897127535850722e-06,0.9993316940451437,0.9355685710906982,0.25698399543762207
16775,10000.0,15.0,"[60, 40, 60]",40.0,8.472730147806259e-09,8.643313054711829e-09,9.466583678645239e-07,1.077190637588501,0.33173465728759766
16776,10000.0,13.0,"[60, 30, 60]",20.0,0.002260619875154567,0.0022187268662587005,1.0108955148347512,0.30455660820007324,0.11347603797912598
16777,10000.0,13.0,"[60, 30, 60]",30.0,2.1890120053704087e-06,2.1633457272004695e-06,0.00035575434345072967,0.29303598403930664,0.11157798767089844
16778,10000.0,13.0,"[60, 30, 60]",40.0,2.149974682498224e-09,2.166397621940524e-09,1023.0468882811465,0.30110979080200195,0.10508394241333008
